Class,precision,recall,f1-score,support
apple_pie,0.578125,0.444,0.502262443438914,250.0
baby_back_ribs,0.7935779816513762,0.692,0.7393162393162394,250.0
baklava,0.8391304347826087,0.772,0.8041666666666667,250.0
beef_carpaccio,0.7028112449799196,0.7,0.7014028056112225,250.0
beef_tartare,0.5210355987055016,0.644,0.5760286225402504,250.0
beet_salad,0.5517241379310345,0.384,0.4528301886792453,250.0
beignets,0.7084639498432602,0.904,0.7943760984182777,250.0
bibimbap,0.9055793991416309,0.844,0.8737060041407867,250.0
bread_pudding,0.5194174757281553,0.428,0.4692982456140351,250.0
breakfast_burrito,0.6510791366906474,0.724,0.6856060606060606,250.0
bruschetta,0.544,0.544,0.544,250.0
caesar_salad,0.5575447570332481,0.872,0.6801872074882995,250.0
cannoli,0.7545787545787546,0.824,0.7877629063097514,250.0
caprese_salad,0.6597938144329897,0.512,0.5765765765765766,250.0
carrot_cake,0.6271929824561403,0.572,0.5983263598326359,250.0
ceviche,0.5075187969924813,0.54,0.5232558139534884,250.0
cheesecake,0.5501730103806228,0.636,0.5899814471243042,250.0
cheese_plate,0.753968253968254,0.76,0.7569721115537849,250.0
chicken_curry,0.59375,0.532,0.5611814345991561,250.0
chicken_quesadilla,0.743801652892562,0.72,0.7317073170731707,250.0
chicken_wings,0.7976653696498055,0.82,0.8086785009861933,250.0
chocolate_cake,0.7558139534883721,0.52,0.6161137440758294,250.0
chocolate_mousse,0.5416666666666666,0.468,0.5021459227467812,250.0
churros,0.8786610878661087,0.84,0.8588957055214724,250.0
clam_chowder,0.6468926553672316,0.916,0.7582781456953642,250.0
club_sandwich,0.7166666666666667,0.86,0.7818181818181819,250.0
crab_cakes,0.6311111111111111,0.568,0.5978947368421053,250.0
creme_brulee,0.7473309608540926,0.84,0.7909604519774012,250.0
croque_madame,0.758364312267658,0.816,0.7861271676300579,250.0
cup_cakes,0.8171641791044776,0.876,0.8455598455598455,250.0
deviled_eggs,0.7934782608695652,0.876,0.8326996197718631,250.0
donuts,0.8149606299212598,0.828,0.8214285714285714,250.0
dumplings,0.8383458646616542,0.892,0.8643410852713178,250.0
edamame,0.9794238683127572,0.952,0.9655172413793104,250.0
eggs_benedict,0.9144385026737968,0.684,0.782608695652174,250.0
escargots,0.8930232558139535,0.768,0.8258064516129032,250.0
falafel,0.6626984126984127,0.668,0.6653386454183267,250.0
filet_mignon,0.5307017543859649,0.484,0.5062761506276151,250.0
fish_and_chips,0.7791666666666667,0.748,0.763265306122449,250.0
foie_gras,0.5212121212121212,0.344,0.41445783132530123,250.0
french_fries,0.7774086378737541,0.936,0.8493647912885662,250.0
french_onion_soup,0.7272727272727273,0.736,0.731610337972167,250.0
french_toast,0.5472312703583062,0.672,0.6032315978456014,250.0
fried_calamari,0.7652173913043478,0.704,0.7333333333333333,250.0
fried_rice,0.78125,0.8,0.7905138339920948,250.0
frozen_yogurt,0.8641509433962264,0.916,0.8893203883495145,250.0
garlic_bread,0.6666666666666666,0.672,0.6693227091633466,250.0
gnocchi,0.4897959183673469,0.672,0.5666104553119731,250.0
greek_salad,0.5338753387533876,0.788,0.6365105008077544,250.0
grilled_cheese_sandwich,0.614406779661017,0.58,0.5967078189300411,250.0
grilled_salmon,0.5532786885245902,0.54,0.5465587044534413,250.0
guacamole,0.7816901408450704,0.888,0.8314606741573034,250.0
gyoza,0.7929515418502202,0.72,0.7547169811320755,250.0
hamburger,0.7701612903225806,0.764,0.7670682730923695,250.0
hot_and_sour_soup,0.902834008097166,0.892,0.89738430583501,250.0
hot_dog,0.7172413793103448,0.832,0.7703703703703704,250.0
huevos_rancheros,0.5211267605633803,0.444,0.4794816414686825,250.0
hummus,0.47039473684210525,0.572,0.516245487364621,250.0
ice_cream,0.734375,0.752,0.7430830039525692,250.0
lasagna,0.5276073619631901,0.688,0.5972222222222222,250.0
lobster_bisque,0.8271028037383178,0.708,0.7629310344827587,250.0
lobster_roll_sandwich,0.7689243027888446,0.772,0.7704590818363274,250.0
macaroni_and_cheese,0.7368421052631579,0.616,0.6710239651416122,250.0
macarons,0.9365079365079365,0.944,0.9402390438247012,250.0
miso_soup,0.9205020920502092,0.88,0.8997955010224948,250.0
mussels,0.961352657004831,0.796,0.8708971553610503,250.0
nachos,0.8409090909090909,0.444,0.581151832460733,250.0
omelette,0.5185185185185185,0.392,0.44646924829157175,250.0
onion_rings,0.8535564853556485,0.816,0.8343558282208589,250.0
oysters,0.9327731092436975,0.888,0.9098360655737705,250.0
pad_thai,0.8091286307053942,0.78,0.7942973523421588,250.0
paella,0.8757396449704142,0.592,0.7064439140811456,250.0
pancakes,0.7558139534883721,0.78,0.7677165354330708,250.0
panna_cotta,0.605072463768116,0.668,0.6349809885931559,250.0
peking_duck,0.7587719298245614,0.692,0.7238493723849372,250.0
pho,0.8754863813229572,0.9,0.8875739644970414,250.0
pizza,0.8704453441295547,0.86,0.8651911468812877,250.0
pork_chop,0.4312977099236641,0.452,0.44140625,250.0
poutine,0.8778280542986425,0.776,0.8237791932059448,250.0
prime_rib,0.7642276422764228,0.752,0.7580645161290323,250.0
pulled_pork_sandwich,0.6809338521400778,0.7,0.6903353057199211,250.0
ramen,0.7302158273381295,0.812,0.7689393939393939,250.0
ravioli,0.5025380710659898,0.396,0.4429530201342282,250.0
red_velvet_cake,0.6234177215189873,0.788,0.696113074204947,250.0
risotto,0.5949820788530465,0.664,0.6275992438563327,250.0
samosa,0.9182389937106918,0.584,0.7139364303178484,250.0
sashimi,0.889795918367347,0.872,0.8808080808080808,250.0
scallops,0.5256410256410257,0.492,0.5082644628099173,250.0
seaweed_salad,0.9622641509433962,0.816,0.8831168831168831,250.0
shrimp_and_grits,0.494949494949495,0.588,0.5374771480804388,250.0
spaghetti_bolognese,0.7818181818181819,0.86,0.819047619047619,250.0
spaghetti_carbonara,0.8188405797101449,0.904,0.8593155893536122,250.0
spring_rolls,0.8653846153846154,0.72,0.7860262008733624,250.0
steak,0.4959677419354839,0.492,0.4939759036144578,250.0
strawberry_shortcake,0.5637393767705382,0.796,0.6600331674958541,250.0
sushi,0.8215962441314554,0.7,0.755939524838013,250.0
tacos,0.5477031802120141,0.62,0.5816135084427767,250.0
takoyaki,0.8483606557377049,0.828,0.8380566801619433,250.0
tiramisu,0.6183745583038869,0.7,0.6566604127579737,250.0
tuna_tartare,0.5076923076923077,0.396,0.4449438202247191,250.0
waffles,0.8467741935483871,0.84,0.8433734939759037,250.0
accuracy,0.7075247524752475,0.7075247524752475,0.7075247524752475,0.7075247524752475
macro avg,0.714663553369121,0.7075247524752476,0.7058046033226423,25250.0
weighted avg,0.714663553369121,0.7075247524752475,0.7058046033226424,25250.0
